Date,Canton,Value
2020-02-28,Aargau,0.15
2020-02-28,Vaud,0.00
2020-02-28,Zürich,0.13
2020-02-28,Schwyz,0.00
2020-02-28,St. Gallen,0.00
2020-02-28,Obwalden,0.00
2020-02-28,Basel Stadt,0.51
2020-02-28,Jura,1.36
2020-02-28,Appenzell Innerrhoden,0.00
2020-02-28,Fribourg/Freiburg,0.00
2020-02-28,Valais/Wallis,0.29
2020-02-28,Luzern,0.24
2020-02-28,Basel Land,0.35
2020-02-28,Genève,0.80
2020-02-28,Schaffhausen,0.00
2020-02-28,Graubünden/Grison,3.02
2020-02-28,Neuchâtel,0.00
2020-02-28,Bern,0.10
2020-02-28,Zug,0.00
2020-02-28,Solothurn,0.00
2020-02-28,Ticino,0.28
2020-02-28,Glarus,0.00
2020-02-28,Appenzell Ausserrhoden,0.00
2020-02-28,Thurgau,0.00
2020-02-28,Uri,0.00
2020-02-28,Nidwalden,0.00
2020-02-28,Liechtenstein,0.00
2020-02-29,St. Gallen,0.00
2020-02-29,Bern,0.10
2020-02-29,Basel Land,0.69
2020-02-29,Solothurn,0.00
2020-02-29,Appenzell Ausserrhoden,0.00
2020-02-29,Luzern,0.49
2020-02-29,Appenzell Innerrhoden,0.00
2020-02-29,Zug,0.00
2020-02-29,Obwalden,0.00
2020-02-29,Vaud,0.00
2020-02-29,Glarus,0.00
2020-02-29,Zürich,0.39
2020-02-29,Fribourg/Freiburg,0.00
2020-02-29,Aargau,0.44
2020-02-29,Valais/Wallis,0.29
2020-02-29,Basel Stadt,0.51
2020-02-29,Genève,1.60
2020-02-29,Graubünden/Grison,3.02
2020-02-29,Ticino,0.57
2020-02-29,Uri,0.00
2020-02-29,Schwyz,0.00
2020-02-29,Neuchâtel,0.00
2020-02-29,Liechtenstein,0.00
2020-02-29,Schaffhausen,0.00
2020-02-29,Jura,1.36
2020-02-29,Nidwalden,0.00
2020-02-29,Thurgau,0.00
2020-03-01,Appenzell Innerrhoden,0.00
2020-03-01,Graubünden/Grison,3.02
2020-03-01,Bern,0.19
2020-03-01,Neuchâtel,0.57
2020-03-01,Uri,0.00
2020-03-01,Thurgau,0.00
2020-03-01,Valais/Wallis,0.58
