Entity,Code,Day,average_deaths_2015_2019_all_ages,deaths_2020_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2021_all_ages
Albania,ALB,2020-01-31,2447.8,2187,2490,2065,3129,2158,2397,2977
Albania,ALB,2020-02-29,1975.2,2018,2139,1905,1845,2013,1974,3738
Albania,ALB,2020-03-31,1980.8,1993,2051,1910,1817,2136,1990,2942
Albania,ALB,2020-04-30,1747.6,1804,1906,1652,1665,1828,1687,
Albania,ALB,2020-05-31,1698.6,1803,1709,1716,1660,1664,1744,
Albania,ALB,2020-06-30,1627.6,1779,1561,1678,1605,1576,1718,
Albania,ALB,2020-07-31,1764.8,2166,2008,1643,1788,1641,1744,
Albania,ALB,2020-08-31,1708.2,2476,1687,1578,1833,1709,1734,
Albania,ALB,2020-09-30,1531.8,1982,1569,1459,1482,1621,1528,
Albania,ALB,2020-10-31,1664.6,2403,1560,1743,1679,1668,1673,
Albania,ALB,2020-11-30,1764.2,3854,1728,1855,1716,1730,1792,
Albania,ALB,2020-12-31,2044.6,3140,2010,2184,2013,2060,1956,
Andorra,AND,2020-01-31,33,34,22,27,49,38,29,
Andorra,AND,2020-02-29,26.4,37,25,21,29,28,29,
Andorra,AND,2020-03-31,30.8,40,29,31,39,36,19,
Andorra,AND,2020-04-30,22.8,60,26,19,22,21,26,
Andorra,AND,2020-05-31,20,36,26,22,17,16,19,
Andorra,AND,2020-06-30,24.2,26,16,25,26,31,23,
Andorra,AND,2020-07-31,25.8,29,27,32,17,23,30,
Andorra,AND,2020-08-31,23.6,19,18,34,18,30,18,
Andorra,AND,2020-09-30,23.6,27,25,16,23,30,24,
Andorra,AND,2020-10-31,25.8,51,25,24,24,33,23,
Andorra,AND,2020-11-30,24.6,19,16,24,29,24,30,
Andorra,AND,2020-12-31,29.6,41,27,35,30,25,31,
Armenia,ARM,2020-01-31,2727.6,2567,2582,2722,3027,2534,2773,3089
Armenia,ARM,2020-02-29,2380.2,2434,2363,2576,2442,2273,2247,2418
Armenia,ARM,2020-03-31,2449.6,2288,2763,2349,2568,2215,2353,2836
Armenia,ARM,2020-04-30,2220.4,2156,2442,2243,2246,1968,2203,3361
Armenia,ARM,2020-05-31,2254.4,2103,2197,2247,2323,2220,2285,2633
Armenia,ARM,2020-06-30,2078.2,2869,2288,2169,2103,1902,1929,
Armenia,ARM,2020-07-31,2151.6,2719,2176,2103,2063,2347,2069,
Armenia,ARM,2020-08-31,2083.2,2106,2149,2127,2174,1972,1994,
Armenia,ARM,2020-09-30,1811.6,2042,1949,1891,1712,1704,1802,
Armenia,ARM,2020-10-31,2115.2,3632,2101,2233,2142,2086,2014,
Armenia,ARM,2020-11-30,2316.8,6060,2349,2476,2263,2317,2179,
Armenia,ARM,2020-12-31,2458.6,4395,2485,2993,2304,2107,2404,
Aruba,ABW,2020-01-31,60,69,51,64,66,70,49,
Aruba,ABW,2020-02-29,59.8,56,55,64,62,63,55,
Aruba,ABW,2020-03-31,60.2,74,57,70,50,60,64,
Aruba,ABW,2020-04-30,61.6,60,63,71,58,66,50,
